"Part";"Value";"Device";"Package";"Description";"POPULARITY";"SPICEPREFIX";
"+9V";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"AMB";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
"C1";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C2";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C3";"4n7";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C4";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C5";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C6";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C7";"47u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"C";
"C8";"1n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C9";"1n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C10";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C11";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C12";"4n7";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C13";"10n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C14";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C15";"22n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C16";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C17";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C18";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C19";"4n7";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
