"Qty";"Value";"Device";"Package";"Parts";"Description";"POPULARITY";"SPICEPREFIX";
"2";"100k";"R-US_0204/5";"0204/5";"R71, R78";"RESISTOR, American symbol";"";"R";
"32";"100n";"C-EU050-025X075";"C050-025X075";"C4, C5, C6, C10, C11, C16, C20, C21, C22, C26, C27, C32, C39, C40, C42, C43, C44, C50, C51, C53, C56, C57, C60, C61, C63, C66, C67, C70, C71, C73, C76, C77";"CAPACITOR, European symbol";"";"C";
"2";"100p";"C-EU050-025X075";"C050-025X075";"C34, C85";"CAPACITOR, European symbol";"";"C";
"2";"100u";"CPOL-USE2.5-6";"E2,5-6";"C36, C38";"POLARIZED CAPACITOR, American symbol";"";"C";
"23";"10k";"R-US_0204/5";"0204/5";"R4, R5, R6, R7, R8, R9, R16, R17, R18, R19, R20, R21, R27, R28, R31, R32, R35, R36, R43, R45, R63, R64, R67";"RESISTOR, American symbol";"";"R";
"3";"10n";"C-EU050-025X075";"C050-025X075";"C13, C29, C89";"CAPACITOR, European symbol";"";"C";
"2";"10u";"CPOL-USE2.5-6";"E2,5-6";"C87, C88";"POLARIZED CAPACITOR, American symbol";"";"C";
"11";"12k";"R-US_0204/5";"0204/5";"R42, R44, R48, R51, R52, R53, R55, R59, R60, R61, R77";"RESISTOR, American symbol";"";"R";
"1";"18k";"R-US_0204/5";"0204/5";"R49";"RESISTOR, American symbol";"";"R";
"1";"1M";"R-US_0204/5";"0204/5";"R1";"RESISTOR, American symbol";"";"R";
"1";"1N5817";"DO41.3";"DO41-3";"D1";"1N400x, 1N5817";"";"";
"2";"1k";"R-US_0204/5";"0204/5";"R10, R22";"RESISTOR, American symbol";"";"R";
"1";"1k2";"R-US_0204/5";"0204/5";"R56";"RESISTOR, American symbol";"";"R";
"7";"1n";"C-EU050-025X075";"C050-025X075";"C8, C9, C24, C25, C45, C58, C68";"CAPACITOR, European symbol";"";"C";
"2";"1n5";"C-EU050-025X075";"C050-025X075";"C78, C81";"CAPACITOR, European symbol";"";"C";
"19";"1u";"C-EU050-025X075";"C050-025X075";"C1, C2, C14, C17, C18, C30, C33, C35, C46, C47, C59, C69, C79, C82, C83, C84, C86, C90, C92";"CAPACITOR, European symbol";"";"C";
"2";"220k";"R-US_0204/5";"0204/5";"R72, R73";"RESISTOR, American symbol";"";"R";
"13";"22k";"R-US_0204/5";"0204/5";"R13, R25, R26, R33, R34, R46, R54, R57, R62, R65, R69, R74, R76";"RESISTOR, American symbol";"";"R";
"3";"22n";"C-EU050-025X075";"C050-025X075";"C15, C31, C91";"CAPACITOR, European symbol";"";"C";
"2";"27k";"R-US_0204/5";"0204/5";"R14, R70";"RESISTOR, American symbol";"";"R";
"4";"2k2";"R-US_0204/5";"0204/5";"R3, R11, R15, R23";"RESISTOR, American symbol";"";"R";
"1";"33k";"R-US_0204/5";"0204/5";"R2";"RESISTOR, American symbol";"";"R";
"1";"3k3";"R-US_0204/5";"0204/5";"R40";"RESISTOR, American symbol";"";"R";
"4";"470n";"C-EU050-025X075";"C050-025X075";"C49, C54, C64, C74";"CAPACITOR, European symbol";"";"C";
"1";"47k";"R-US_0204/5";"0204/5";"R79";"RESISTOR, American symbol";"";"R";
"7";"47u";"CPOL-USE2.5-6";"E2,5-6";"C7, C23, C37, C41, C52, C62, C72";"POLARIZED CAPACITOR, American symbol";"";"C";
"4";"4k7";"R-US_0204/5";"0204/5";"R12, R24, R38, R80";"RESISTOR, American symbol";"";"R";
"9";"4n7";"C-EU050-025X075";"C050-025X075";"C3, C12, C19, C28, C48, C55, C65, C75, C80";"CAPACITOR, European symbol";"";"C";
"5";"68k";"R-US_0204/5";"0204/5";"R37, R39, R41, R50, R58";"RESISTOR, American symbol";"";"R";
"3";"6k8";"R-US_0204/5";"0204/5";"R66, R68, R75";"RESISTOR, American symbol";"";"R";
"1";"7805TV";"7805TV";"TO220V";"IC1";"Positive VOLTAGE REGULATOR";"57";"";
"2";"8k2";"R-US_0204/5";"0204/5";"R30, R47";"RESISTOR, American symbol";"";"R";
"2";"B100k";"16MM.1";"16MM_B.MOUNT";"DEPTH, SPEED";"16mm Poteniometers";"";"";
"9";"B50k";"16MM.1";"16MM_B.MOUNT";"AMB, FB1, FB2, MIX1, MIX2, REV, SERIES, TIME1, TIME2";"16mm Poteniometers";"";"";
"7";"LED.3";"LED.3";"3MM_2";"D2, D3, D4, D5, D6, D7, D8";"LEDs, all sizes";"";"";
"16";"LSP10";"LSP10";"LSP10";"+9V, DLA1_1, DLA1_2, DLA2_1, DLA2_2, GND, GND_IN, GND_OUT, IN, LED, LED1, LED2, OUT, REV_1, REV_2, SW";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"1";"NE5532";"TL072P";"DIL08";"IC3";"OP AMP";"13";"";
"6";"PT2399";"PT2399";"DIL16";"U1, U2, U3, U4, U5, U6";"Echo Processor IC";"";"";
"3";"RLED";"R-US_0204/5";"0204/5";"R29, R81, R82";"RESISTOR, American symbol";"";"R";
"1";"TL072P";"TL072P";"DIL08";"IC2";"OP AMP";"13";"";
