Designator;Quantity;Designation
R82,R29,R81;3;RLED
C31,C91,C15;3;22n
U3,U1,U6,U5,U2,U4;6;PT2399
R74,R26,R13,R69,R54,R62,R76,R46,R65,R34,R33,R57,R25;13;22k
R22,R10;2;1k
R80,R38,R12,R24;4;4k7
C70,C56,C26,C51,C76,C43,C61,C6,C60,C32,C44,C63,C57,C50,C66,C10,C5,C73,C20,C53,C4,C16,C21,C39,C42,C27,C11,C67,C40,C22,C77,C71;32;100n
C89,C13,C29;3;10n
FB1,MIX2,TIME2,MIX1,REV0,TIME1,SERIES0,FB2;8;B50k
C9,C25,C68,C58,C24,C8,C45;7;1n
C88,C87;2;10u
C36,C38;2;100u
C75,C12,C28,C80,C19,C48,C3,C65,C55;9;4n7
C41,C7,C23,C37,C72,C52,C62;7;47u
R71,R78;2;100k
C92,C79,C84,C86,C47,C33,C90,C18,C14,C59,C46,C17,C83,C2,C30,C1,C35,C69,C82;19;1u
R61,R60,R42,R53,R51,R52,R59,R55,R44,R48;10;12k
R36,R20,R19,R21,R18,R31,R7,R67,R5,R9,R4,R28,R32,R35,R43,R8,R16,R45,R64,R17,R63,R27,R6;23;10k
R47,R30;2;8k2
C85,C34;2;100p
R77,R49;2;18k
R39,R37,R50,R58,R68,R41;6;68k
D1;1;1N5817
D6,D4,D7,D2,D8,D3,D5;7;LED.3
R23,R3,R11,R15;4;2k2
R14,R70;2;27k
IC1;1;7805TV
R73,R72;2;220k
C78,C81;2;1n5
SPEED0,DEPTH0;2;B100k
R40;1;3k3
IC2;1;TL072P
R1;1;1M
AMB0;1;C500k
R56;1;1k2
R75,R66;2;6k8
C74,C54,C64,C49;4;470n
R79;1;47k
R2;1;33k
IC3;1;NE5532
